用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
SEC-013,权限与安全,Cookie安全属性,P1,Security,生产登录,ace_session,检查Set-Cookie。,HttpOnly; Secure; SameSite合理；生产不降级。,缺安全属性。,响应头,Playwright/API,否,NOT_RUN,,
SEC-014,权限与安全,日志不含Secret/密码,P0,Privacy,运行CI/QA,GitHub logs,搜索API key/password/session泄露。,无secret明文。,发现凭据。,日志扫描,CI,否,NOT_RUN,,
UX-001,前端稳定性,Delivery单写者,P0,UI/Race,PACKAGED,5015,持续轮询并切层。,delivery.js唯一控制交付态；不闪烁。,app.js覆盖。,录屏,Playwright,否,FIXED_RETEST_PASS,abca49,
UX-002,前端稳定性,任务创建后FormData reset回归,P0,UI,已创建任务,无,观察提交成功后的JS流程。,不抛FormData.reset错误，继续refresh/switch。,console error/卡旧任务。,console+录屏,Playwright,是,FIXED_RETEST_REQUIRED,bf0755,
UX-003,前端稳定性,创建后竞态,P0,UI/Race,已有旧任务轮询,新任务,创建新任务瞬间旧请求延迟返回。,新任务保持active。,旧响应覆盖。,route delay录屏,Playwright,是,FIXED_RETEST_REQUIRED,ee8db4,
UX-004,前端稳定性,切换任务核心优先,P0,UI/Race,artifact/events接口故障,新选任务,切换。,标题/状态先正确，证据可晚到。,页面卡旧任务。,录屏,Playwright,否,FIXED_RETEST_REQUIRED,7e4bd4,
UX-005,前端稳定性,浏览器console错误,P1,UI,完整全流程,无,监听pageerror/console error/requestfailed。,关键流程0未解释错误。,出现JS异常/请求持续失败。,console日志,Playwright,否,NOT_RUN,,
UX-006,前端稳定性,轮询请求数量,P2,Performance,打开单任务5分钟,无,统计网络请求。,频率符合设计，无爆炸式增长/重复timer。,请求线性累积或多个interval叠加。,HAR,Playwright,否,NOT_RUN,,
UX-007,前端稳定性,长时间页面稳定,P2,Soak,PACKAGED/RUNNING,30分钟,保持打开并周期切换。,内存/DOM稳定，按钮不失效。,明显泄漏/冻结。,浏览器指标,Manual,否,NOT_RUN,,
UX-008,前端稳定性,断网恢复,P2,Resilience,RUNNING页面,离线30秒,断网再恢复。,UI提示失败但恢复后继续刷新，不重复启动。,白屏/重复workflow。,录屏,Playwright,否,NOT_RUN,,
UX-009,前端稳定性,404资产处理,P2,UI,人为不存在artifact preview,坏id,访问。,友好错误，不破坏主页面。,JS崩溃。,截图,Playwright,否,NOT_RUN,,
UX-010,前端稳定性,缓存硬刷新,P1,UI/Cache,部署新版本后,Ctrl+F5语义,强制刷新并验证关键JS版本行为。,不再表现旧bug。,CDN/浏览器长期旧资产。,响应etag/hash,Manual,否,NOT_RUN,,
OPS-001,运维,incident自动重试,P1,Ops,可注入一次性失败,AUTO_RETRY,触发自动重试。,WARNING incident产生，retry ledger记录。,无记录。,D1,Integration,是,HISTORICAL_PASS,,
OPS-002,运维,终止失败incident,P0,Ops,可注入最终失败,WORKFLOW_TERMINAL_FAILURE,耗尽重试。,ERROR incident OPEN。,无incident。,D1,Integration,是,HISTORICAL_PASS,,
OPS-003,运维,G15 incident,P1,Ops,触发可控G15阻断,delivery gate,运行。,WARNING incident source=G15_DELIVERY_GATE。,无记录。,D1,Integration,是,HISTORICAL_PASS,,
OPS-004,运维,ops.html权限,P1,UI/Security,member与reviewer,/ops.html,分别访问。,member API 403；reviewer可操作。,member读取数据。,录屏,Playwright,否,NOT_RUN,,
OPS-005,模型提供商,MiniMax真实上游,P0,Provider,生产secret有效,正常任务,完成多个阶段。,真实响应可解析；无伪造静态输出。,全阶段模板化假输出。,provider telemetry,Integration,是,NOT_RUN,,
OPS-006,模型提供商,GPT-SOL无key,P1,Provider,GPT_SOL_API_KEY缺失环境,评分,检查显示。,REFERENCE_BASELINE；绝不LIVE_EVALUATED。,显示实时分。,API/UI,Vitest,否,HISTORICAL_PASS,,
OPS-007,模型提供商,GPT-SOL有key真实响应,P2,Provider,经批准secret,评分,执行一次。,只有上游成功才LIVE_EVALUATED。,失败也live。,响应证据,Integration,是,NOT_RUN,,
OPS-008,模型提供商,Provider重试预算分离,P0,Provider,模拟malformed,无,连续触发provider retry。,工程质量repair budget不被错误耗尽。,混用计数。,单测+日志,Vitest,否,FIXED_RETEST_REQUIRED,69d05c,
REL-001,发布,CI全绿,P0,Release,main HEAD,69d05...,检查最新main CI。,types/tsc/tests/parity/python/dry-run全绿。,任一步失败。,run 35487660777,GitHub Actions,否,HISTORICAL_PASS,,
REL-002,发布,生产deploy受控,P0,Release,手动workflow,RUN_PRODUCTION,执行deploy workflow。,质量门→迁移list/apply→deploy→smoke按序。,绕过质量门。,Actions steps,GitHub Actions,是,HISTORICAL_PASS,,
REL-003,发布,当前生产版本,P0,Release,最新成功deploy,run 35487734732,核对日志。,Version ID=399f54e2-5a18-4149-8966-21ca374c30b1；smoke attempt1 PASS。,版本不符/烟测失败。,deploy日志,GitHub Actions,否,HISTORICAL_PASS,,
REL-004,发布,D1无待迁移,P0,Release,生产,wrangler migrations list,执行只读list。,No migrations to apply。,有未应用迁移。,日志,GitHub Actions,否,HISTORICAL_PASS,,
REL-005,发布,临时QA认证未进main,P0,Security/Release,main HEAD,manual-browser-ticket/qa-browser关键词,搜索main。,无临时认证端点/一次性票据代码。,存在后门。,代码搜索,Static,否,HISTORICAL_PASS,,
