用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
UP-009,输入资料,不支持文件类型,P0,Security/UI,DRAFT,exe/js/zip,尝试上传。,前端或服务端拒绝；R2不留下对象。,接受可执行/未知文件。,响应+R2检查,Playwright/API,是,NOT_RUN,,
UP-010,输入资料,文件名净化,P0,Security,DRAFT,../a.step、特殊字符,上传。,路径穿越字符被净化，storage_key仍在task命名空间。,写出task目录。,DB storage_key,API,是,NOT_RUN,,
UP-011,输入资料,重复文件名,P2,Data,DRAFT,两个同名不同内容,上传。,input id/storage key唯一，不覆盖。,后一个覆盖前一个。,DB+R2,API,是,NOT_RUN,,
UP-012,输入资料,上传中断,P1,Resilience,DRAFT,较大文件,中途断网/取消。,不产生STAGED_FORMAT_VALIDATED脏记录。,半文件进入流程。,DB/R2,Playwright route,是,NOT_RUN,,
UP-013,输入资料,SHA完整性,P0,Data,任意上传,已知hash文件,上传后核对DB sha256。,与本地hash一致。,不一致。,hash对比,Integration,是,NOT_RUN,,
UP-014,输入资料,无CAD事实边界,P0,Golden,无STEP/STL任务,纯文本需求,跑到G15。,采用NO_PRODUCT_CAD_PROVIDED，不生成假BREP/STEP/STL。,G15强制要求CAD或伪造CAD。,ZIP清单+status.json,Playwright+validator,是,FIXED_RETEST_PASS,b8889ff / 35432199552,
PIPE-001,15阶段流水线,需求接收与输入完整性,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段1 intake 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=需求接收与输入完整性；Gate=G00；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-002,15阶段流水线,需求工程,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段2 requirements 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=需求工程；Gate=G01；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-003,15阶段流水线,可行性架构,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段3 feasibility 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=可行性架构；Gate=G03；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-004,15阶段流水线,机器视觉,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段4 vision 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=机器视觉；Gate=G04；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-005,15阶段流水线,机械方案,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段5 mechanical 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=机械方案；Gate=G05；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-006,15阶段流水线,电控与安全,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段6 electrical 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=电控与安全；Gate=G06；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-007,15阶段流水线,软件与 MES,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段7 software_mes 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=软件与 MES；Gate=G07；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-008,15阶段流水线,产品 CAD,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段8 product_cad 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=产品 CAD；Gate=G02；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-009,15阶段流水线,节拍与产能,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段9 ct_capacity 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=节拍与产能；Gate=G08；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-010,15阶段流水线,BOM 与制造成本,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段10 bom_cost 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=BOM 与制造成本；Gate=G09；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-011,15阶段流水线,数字孪生渲染,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段11 digital_twin 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=数字孪生渲染；Gate=G10；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
