用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
AUTH-001,认证,未登录首页,P0,UI,无登录态,无,1. 新开无痕浏览器；2. 访问生产首页；3. 等待网络空闲。,HTTP 200；页面标题为“总工云台｜受控方案交付”；显示“登录 / 注册”；任务列表提示登录后查看任务。,白屏、5xx、自动进入他人账号、任务数据泄露。,首页截图+状态码+DOM文本,Playwright,否,HISTORICAL_PASS,,
AUTH-002,认证,未登录隔离,P0,Security/UI,无登录态,任意已知任务ID,1. 未登录进入首页；2. 检查任务列表；3. 尝试直接访问任务/下载URL。,UI不显示任何任务；受保护接口返回401；不泄露标题、prompt、artifact、ZIP。,返回200或泄露任何任务数据。,网络响应+截图,Playwright+API,否,HISTORICAL_PASS,,
AUTH-003,认证,登录弹窗,P1,UI,无登录态,空邮箱/空密码,1. 打开登录弹窗；2. 检查email/password字段；3. 空提交；4. 关闭弹窗。,HTML约束生效；弹窗可打开关闭；关闭后无副作用。,无法关闭、页面卡死、空提交进入登录。,截图+DOM属性,Playwright,否,NOT_RUN,,
AUTH-004,认证,错误密码,P0,UI/Security,测试账号存在,错误密码,1. 输入正确邮箱+错误密码；2. 提交。,明确提示邮箱或密码错误；不创建session；不暴露哪个字段错误。,进入账号、500、泄露哈希/盐/内部错误。,截图+响应码,Playwright,否,NOT_RUN,,
AUTH-005,认证,正确密码,P0,UI,由操作者以Secret提供ACE_E2E_PASSWORD,test@test.com,1. 输入账号密码；2. 提交；3. 等任务列表。,登录成功；显示账号和credits；任务列表加载。,登录失败或显示错误账号。,截图+账号文本+credits,Playwright,否,NOT_RUN,,密码只通过环境变量，不写仓库/Excel
AUTH-006,认证,退出登录,P1,UI,已登录,无,1. 点击退出；2. 等待页面刷新；3. 检查任务列表。,回到未登录态；任务列表隐藏；后续受保护请求401。,退出后仍可看任务或下载。,截图+API 401,Playwright,否,NOT_RUN,,
AUTH-007,认证,过期session,P0,Security,准备已过期session,过期cookie,1. 注入过期session；2. 刷新；3. 请求/api/me。,user:null或401受保护接口；不自动续期非法session。,过期session仍有效。,响应+DB/session证据,Integration,否,NOT_RUN,,
AUTH-008,认证,并发session,P2,Security,测试账号,2个浏览器context,1. 同账号建立两个session；2. 分别操作只读页面；3. 退出其中一个。,两个session互不覆盖；退出A不应删除B。,退出一个导致全部失效，或session串号。,两个context录屏,Playwright,否,NOT_RUN,,
AUTH-009,认证,注册约束,P1,UI/API,新邮箱,密码<12字符、非法邮箱,1. 打开注册；2. 尝试非法邮箱；3. 短密码；4. 重复邮箱。,非法输入被阻止；重复邮箱409/明确提示；不创建脏用户。,500、短密码注册成功、重复用户。,截图+响应,Playwright/API,是,NOT_RUN,,
AUTH-010,认证,跨账号任务隔离,P0,Security,账号A/B各有任务,A任务ID,1. B登录；2. 访问A任务及子资源。,任务/inputs/artifacts/events/retries/rework/cad/delivery均拒绝。,任一资源可读/可改。,HTTP状态矩阵,Vitest+API,否,HISTORICAL_PASS,,
NAV-001,导航与状态,任务列表加载,P0,UI,已登录且至少2任务,无,1. 登录；2. 等待任务列表；3. 记录行数和状态。,列表稳定出现；状态标签与选中任务一致。,加载无限转圈、重复行、状态错。,截图+DOM,Playwright,否,HISTORICAL_PASS,,
NAV-002,导航与状态,任务快速切换,P0,UI/Race,至少3任务,A/B/C,1. A→B→C快速点击；2. 每次检查标题/状态/active行；3. 2秒后再检查。,最终只显示C；旧请求不能覆盖新选择。,标题、状态、stage、inspector任一回跳到A/B。,录屏+DOM时间序列,Playwright,否,FIXED_RETEST_REQUIRED,ee8db4 / 7e4bd4,
NAV-003,导航与状态,复选框隔离,P1,UI,已选任务,当前任务ID,1. 勾选当前/其他任务复选框；2. 不点击行。,仅改变批量选择，不切换active任务。,勾选导致任务切换。,录屏+active class,Playwright,否,HISTORICAL_PASS,,
NAV-004,导航与状态,可选证据失败不阻塞核心任务,P0,UI/Resilience,可模拟artifact/events请求失败,拦截其中一个请求为500,1. 选择任务；2. 人工让可选证据接口失败；3. 检查标题/状态。,核心task+inputs先渲染；证据失败不让界面停留旧任务。,仍显示上一个任务。,录屏+网络日志,Playwright route,否,FIXED_RETEST_REQUIRED,7e4bd4,
NAV-005,导航与状态,刷新后选中态,P2,UI,已登录,PACKAGED任务,1. 选择任务；2. 浏览器刷新。,页面可恢复到合法初始选中或第一项；不出现幽灵active状态。,选中行和标题不一致。,截图,Playwright,否,NOT_RUN,,
NAV-006,导航与状态,滚动长列表,P2,UI,任务数>20,无,1. 滚动任务列表；2. 选择底部任务；3. 再返回顶部。,滚动容器正常；选中和右侧同步。,列表跳动、选中错位。,录屏,Manual/Playwright,否,NOT_RUN,,
NAV-007,导航与状态,阶段卡顺序,P0,UI,任意任务,固定15阶段,1. 读取15个stage-card标签。,顺序严格等于canonical pipeline，无跳步/重复。,数量≠15或顺序漂移。,DOM文本数组,Playwright,否,HISTORICAL_PASS,,
NAV-008,导航与状态,状态颜色与文本一致,P2,UI,覆盖DRAFT/RUNNING/PACKAGED/FAILED/QUALITY_BLOCKED,多个历史任务,逐一选择并比对state chip。,状态文本准确，不用颜色替代文本。,颜色/文字与真实状态不一致。,截图,Manual,否,NOT_RUN,,
NAV-009,导航与状态,窄屏布局,P2,Responsive,已登录,1280x720,1. 切换viewport；2. 浏览任务/右侧Inspector。,核心按钮可见，无遮挡/水平溢出导致不可操作。,按钮被遮挡或面板不可滚动。,截图,Playwright,否,NOT_RUN,,
NAV-010,导航与状态,高DPI/缩放,P3,UX,已登录,浏览器125%/150%缩放,检查主要操作区。,文本和按钮仍可读可点。,重叠/裁切。,截图,Manual,否,NOT_RUN,,
TASK-001,任务生命周期,取消新建无副作用,P0,UI,已登录,临时标题/Prompt,1. 记录任务数；2. 打开新建；3. 填内容；4. 取消；5. 再数任务。,任务数不变；无D1记录；弹窗关闭。,出现新任务或弹窗残留。,前后任务数+截图,Playwright,否,HISTORICAL_PASS,,
TASK-002,任务生命周期,创建无附件任务,P0,UI,已登录且credits足够,QA标题+完整prompt,1. 新建；2. 不上传；3. 提交。,创建DRAFT；标题/prompt准确；按钮状态正确。,500、重复创建、仍显示旧任务。,截图+task id,Playwright,是,FIXED_RETEST_REQUIRED,ee8db4 / bf0755,
TASK-003,任务生命周期,创建后表单重置,P1,UI,完成TASK-002,第二个任务,1. 再打开新建弹窗。,字段为空、files为空，不继承上一任务。,残留上一任务输入。,截图,Playwright,否,FIXED_RETEST_REQUIRED,bf0755,
TASK-004,任务生命周期,创建后自动选中新任务,P0,UI/Race,至少已有多个任务,QA标题,创建后立即检查active row/title/state。,选中新任务且DRAFT；旧异步请求不能覆盖。,跳回旧任务。,录屏,Playwright,是,FIXED_RETEST_REQUIRED,ee8db4,
TASK-005,任务生命周期,标题边界,P2,UI/API,已登录,最短、最大长度、超长,分别提交。,合法边界成功；超长400/前端阻止。,截断不提示或500。,响应+截图,API/UI,是,NOT_RUN,,
