用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
PRE-010,Inspector,来源SHA展示,P2,Audit,可预览artifact,无,打开受控预览。,显示sourceArtifactId/sourceSha256及限制说明。,无来源链。,截图,Playwright,否,NOT_RUN,,
DEL-001,客户交付,非PACKAGED无下载,P0,UI/Security,DRAFT/RUNNING/FAILED/QUALITY_BLOCKED,多状态任务,进入Customer Delivery。,显示尚未冻结；无下载按钮。,提前下载。,截图,Playwright,否,HISTORICAL_PASS,,
DEL-002,客户交付,PACKAGED显示冻结,P0,UI,5015 PACKAGED,历史5015,进入Customer Delivery。,显示客户交付ZIP已冻结、数量、时间、SHA。,仍显示未冻结。,截图,Playwright,否,FIXED_RETEST_PASS,abca49 / 35438239369,
DEL-003,客户交付,冻结面板稳定,P0,UI/Race,PACKAGED,5015,连续观察>12秒跨多轮询周期。,不闪回未冻结；下载按钮持续可见可点。,任何闪烁/按钮消失。,录屏,Playwright,否,FIXED_RETEST_PASS,abca49 / 35438239369,
DEL-004,客户交付,浏览器下载ZIP,P0,UI,PACKAGED,5015,点击下载客户ZIP并等待download。,浏览器得到task-*.zip，非错误HTML。,下载失败/错误页。,download事件+文件头,Playwright,否,HISTORICAL_PASS,,
DEL-005,客户交付,ZIP SHA一致,P0,Integrity,已下载5015 ZIP,expected bf6fb5...,计算SHA并与delivery metadata/header比对。,三者完全一致。,任一不一致。,SHA文本,Playwright/Python,否,HISTORICAL_PASS,,
DEL-006,客户交付,权威validator,P0,Golden,已下载ZIP,validator脚本,运行scripts/validate_r2_f10_golden_delivery.py。,输出PASS [R2-F10-GOLDEN-121]。,任何FAIL。,validator stdout,Python,否,HISTORICAL_PASS,,
DEL-007,客户交付,121/119文件合同,P0,Golden,已下载ZIP,ZIP,统计文件/Manifest。,ZIP=121；客户载荷=119；Manifest逐项覆盖。,数量或覆盖不符。,统计结果,Validator,否,HISTORICAL_PASS,,
DEL-008,客户交付,DOCX结构,P0,Golden,ZIP,技术方案DOCX,检查Heading1数量≥合同要求。,结构合规。,结构不足仍PASS。,validator,Python,否,HISTORICAL_PASS,,
DEL-009,客户交付,PPTX 31页,P0,Golden,ZIP,PPTX,检查页数和固定覆盖项。,恰31页且覆盖完整。,页数/覆盖缺失。,validator,Python,否,HISTORICAL_PASS,,
DEL-010,客户交付,XLSX 21 Sheet,P0,Golden,ZIP,工程数据XLSX,检查21 sheet及公式门槛。,恰21 Sheet，DFMEA/成本等公式达标。,结构/公式不足。,validator,Python,否,HISTORICAL_PASS,,
DEL-011,客户交付,PDF签名,P1,Golden,ZIP,PDF,检查%PDF签名。,合法PDF。,伪文件。,validator,Python,否,NOT_RUN,,
DEL-012,客户交付,PNG/SVG签名,P1,Golden,ZIP,视觉资产,检查所有视觉签名和最小结构。,全部合法。,文本冒充图片。,validator,Python,否,NOT_RUN,,
DEL-013,客户交付,Manifest大小SHA,P0,Integrity,ZIP,Manifest,逐文件核对path/size/sha256。,全部一致。,任一不一致。,validator,Python,否,NOT_RUN,,
DEL-014,客户交付,REJECTED delivery不可下载,P0,Security,存在被返工拒绝的旧delivery,旧delivery id,尝试下载。,404/拒绝。,旧包仍可下载。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
DEL-015,客户交付,FROZEN才可下载,P0,Security,多delivery状态,无,分别请求download。,仅FROZEN允许。,其他状态200。,状态矩阵,Vitest/API,否,HISTORICAL_PASS,,
DEL-016,客户交付,跨用户ZIP隔离,P0,Security,A有PACKAGED，B登录,A task id,B访问download。,拒绝。,泄露ZIP。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
DEL-017,客户交付,no-CAD产品目录,P0,Golden,无CAD任务ZIP,02目录,列出02_产品CAD与视图。,只有声明/status/6 SVG；无.brep/.step/.stl。,出现伪CAD。,ZIP列表,Python,否,FIXED_RETEST_PASS,b8889ff,
DEL-018,客户交付,概念视觉诚实标记,P0,Evidence,无CAD任务ZIP,03/04视觉,抽查Manifest/说明。,概念视图标记concept-only/ASM_NOT_VERIFIED，不称客户几何。,误称verified product CAD。,Manifest抽查,Manual+Python,否,NOT_RUN,,
RW-001,返工与恢复,QUALITY_BLOCKED显示返工,P0,UI,QUALITY_BLOCKED任务,无,选择任务。,返工按钮可见。,无按钮。,截图,Playwright,否,HISTORICAL_PASS,,
RW-002,返工与恢复,FAILED显示返工,P0,UI,FAILED任务,无,选择任务。,返工按钮可见。,无按钮。,截图,Playwright,否,HISTORICAL_PASS,,
RW-003,返工与恢复,PACKAGED允许受控返工,P1,UI,PACKAGED测试任务,无,检查按钮并经确认启动。,允许明确返工；旧accepted artifacts/delivery按规则REJECTED。,直接覆盖旧包无审计。,DB+UI,Playwright,是,NOT_RUN,,
RW-004,返工与恢复,Workflow创建成功后才ACK incident,P0,Recovery,有OPEN incident,模拟workflow create成功,触发返工。,仅create成功后ACK。,create失败也ACK。,incident ledger,Integration,是,HISTORICAL_PASS,,
RW-005,返工与恢复,返工create失败不ACK,P0,Recovery,有OPEN incident,模拟Workflow create失败,触发返工。,incident保持OPEN；task不伪装已恢复。,被ACK。,DB,Vitest,否,HISTORICAL_PASS,,
RW-006,返工与恢复,返工重置retry/workflow状态,P1,Recovery,FAILED/QUALITY_BLOCKED,无,返工后读task/retries。,新workflow id；旧retry不污染新运行。,沿用坏状态。,DB,Integration,是,NOT_RUN,,
